date,5000K0.8S, 中国尿素产量（周度）_尿素产量,焦煤期货历史价格_结算价,焦煤期货历史价格_成交量,焦煤期货历史价格_持仓量,中国流量(入库)_水库站_三峡_中国:流量(入库):水库站:三峡,即期汇率_美元兑人民币_即期汇率_美元兑人民币,新加坡动力煤期货202310_新加坡4200K(GAR)_USD,（秦皇岛-广州6-7WD）国内煤炭海运费_本期,（秦皇岛-广州6-7WD）国内煤炭海运费_期环比,（秦皇岛-广州6-7WD）国内煤炭海运费_年度同比,鄂尔多斯伊旗5000K坑口价格_价格(元/吨),鄂尔多斯伊旗5000K坑口价格_较上期, 呼局批车数量统计_2020年, 呼局批车数量统计_2021年, 呼局批车数量统计_2022年, 呼局批车数量统计_2023年,山西朔州动力混煤5200K车板价_价格(元/吨),山西朔州动力混煤5200K车板价_较上期, 晋陕蒙442家样本煤矿产量统计 modified_山西省, 晋陕蒙442家样本煤矿产量统计 modified_内蒙古自治区, 晋陕蒙442家样本煤矿产量统计 modified_陕西省, 晋陕蒙442家样本煤矿产量统计 modified_总计,期货结算价(活跃合约)_甲醇_期货结算价(活跃合约):甲醇,山西怀仁动力煤4800K车板价_价格(元/吨),山西怀仁动力煤4800K车板价_较上期,期货结算价(活跃合约)_焦炭_期货结算价(活跃合约):焦炭, 晋陕蒙液化天然气LNG出厂价格 modified_内蒙古-高价, 晋陕蒙液化天然气LNG出厂价格 modified_内蒙古-均价, 晋陕蒙液化天然气LNG出厂价格 modified_内蒙古-低价,期货结算价(活跃合约)_螺纹钢_期货结算价(活跃合约):螺纹钢, 晋陕蒙地区油价历史数据modified_92汽油, 晋陕蒙地区油价历史数据modified_95汽油, 晋陕蒙地区油价历史数据modified_0号柴油,化肥产量（月度）_ 晋陕蒙地区油价历史数据modified_92汽油,化肥产量（月度）_ 晋陕蒙地区油价历史数据modified_95汽油,化肥产量（月度）_ 晋陕蒙地区油价历史数据modified_0号柴油,山西右玉动力煤5500K车板价_价格(元/吨),山西右玉动力煤5500K车板价_较上期,中国尿素市场价(小颗粒)_尿素小颗粒价格, 鄂尔多斯汽运短倒modified_鄂尔多斯弓家塔-巴图塔, 鄂尔多斯汽运短倒modified_鄂尔多斯新庙-巴图塔, 鄂尔多斯汽运短倒modified_鄂尔多斯乌兰木伦-新街,中国流量(出库)_水库站_三峡_三峡出库流量, 晋陕蒙甲醇日度价格_甲醇高价, 晋陕蒙甲醇日度价格_甲醇均价, 晋陕蒙甲醇日度价格_甲醇低价,鄂尔多斯达旗4500K坑口价格_价格(元/吨),鄂尔多斯达旗4500K坑口价格_较上期,现货价_原油_美国西德克萨斯中级轻质原油(WTI)_原油现货价, 甲醇月产量 - 副本_中国甲醇月产量,现货价_原油_英国布伦特Dtd _现货价_原油_英国布伦特Dtd, 2020~2023新假期汇总_is_holiday, 用电量统计_累计值(亿千瓦时), 用电量统计_累计增长(%),鄂尔多斯伊旗5500K坑口价格_价格(元/吨),鄂尔多斯伊旗5500K坑口价格_较上期,期货结算价(活跃合约)_焦煤_期货结算价(活跃合约):焦煤,新加坡动力煤期货202311合约4200kGARfobThermalCoal_daily-settlement-price-abs,新加坡动力煤期货202311合约4200kGARfobThermalCoal_total-volume,中国_价格指数_甲醇_中国甲醇价格指数, 鄂尔多斯主流园区库存 modified_罕台川北, 鄂尔多斯主流园区库存 modified_新街, 鄂尔多斯主流园区库存 modified_西营子/伊泰, 鄂尔多斯主流园区库存 modified_准格尔召, 鄂尔多斯主流园区库存 modified_整体,陕西榆林神木县5800K坑口价格_价格(元/吨),陕西榆林神木县5800K坑口价格_较上期,陕西榆林神木县5500K坑口价格_价格(元/吨), 秦皇岛-张家港（2-3WD）国内煤炭海运费 _本期, 秦皇岛-张家港（2-3WD）国内煤炭海运费 _年度同比
2018-01-02,636,145500.0,,,,6600.0,6.4967,,,,,,,,,,,,,,,,,2903.0,,,2005.5,,,,3842.0,6.81,7.22,6.39,6.81,7.22,6.39,,,2123.22,27.0,18.714285714285715,13.428571428571429,7700.0,,,,,,60.37,,66.6,0.0,35967.32258064517,10.058064516129033,,,1325.5,,,,28.99142857142857,13.971428571428572,125.28571428571428,103.57142857142856,271.82,,,,,
2018-01-03,636,145500.0,,,,6000.0,6.5017,,,,,,,,,,,,,,,,,2909.0,,,2028.0,,,,3845.0,6.819999999999999,7.229999999999999,6.4,6.819999999999999,7.229999999999999,6.4,,,2120.73,27.0,19.142857142857142,13.285714285714286,7710.0,,,,,,61.63,,68.1,0.0,35120.145161290326,10.166129032258064,,,1357.5,,,,28.987142857142857,12.157142857142858,121.42857142857144,102.85714285714286,265.43,,,,,
2018-01-04,638,145500.0,,,,6000.0,6.4968,,,,,,,,,,,,,,,,,2926.0,,,2058.5,,,,3811.0,6.83,7.24,6.41,6.83,7.24,6.41,,,2118.24,27.0,19.57142857142857,13.142857142857142,7020.0,,,,,,62.01,,68.7,0.0,34272.967741935485,10.274193548387096,,,1356.0,,,,28.982857142857146,10.342857142857143,117.57142857142856,102.14285714285714,259.04,,,,,
2018-01-05,641,145500.0,,,,6000.0,6.4851,,,,,,,,,,,,,,,,,2925.0,,,2069.5,,,,3791.0,6.84,7.25,6.42,6.84,7.25,6.42,,,2115.75,27.0,20.0,13.0,7720.0,,,,,,61.44,,68.2,0.0,33425.79032258065,10.38225806451613,,,1350.5,,,,28.978571428571428,8.528571428571428,113.71428571428572,101.42857142857144,252.65,,,,,
2018-01-08,646,145500.0,,,,6100.0,6.4956,,,,,,,,,,,,,,,,,2966.0,,,2061.0,,,,3772.0,6.87,7.28,6.45,6.87,7.28,6.45,,,2108.28,27.0,20.0,13.0,7270.0,,,,,,61.73,,68.3,0.0,30884.25806451613,10.706451612903226,,,1362.0,,,,31.274285714285718,5.6571428571428575,108.57142857142856,98.42857142857144,243.93142857142857,,,,,
2018-01-09,649,145500.0,,,,6200.0,6.5207,,,,,,,,,,,,,,,,,2988.0,,,2079.5,,,,3824.0,6.88,7.29,6.46,6.88,7.29,6.46,,,2105.79,27.0,20.0,13.0,8400.0,,,,,,62.96,,69.1,0.0,30037.08064516129,10.814516129032258,,,1384.0,,,,33.57857142857143,6.414285714285715,111.14285714285714,96.85714285714286,247.9928571428572,,,,,
2018-01-10,651,145500.0,,,,6600.0,6.5179,,,,,,,,,,,,,,,,,2983.0,,,2039.5,,,,3833.0,6.89,7.3,6.47,6.89,7.3,6.47,,,2103.3,27.0,20.0,13.0,9010.0,,,,,,63.57,,69.9,0.0,29189.90322580645,10.92258064516129,,,1367.0,,,,35.88285714285714,7.171428571428571,113.71428571428572,95.28571428571428,252.05428571428573,,,,,
2018-01-11,654,145500.0,,,,7000.0,6.5088,,,,,,,,,,,,,,,,,2969.0,,,2025.0,,,,3850.0,6.9,7.31,6.48,6.9,7.31,6.48,,,2100.02,27.0,20.0,13.0,8940.0,,,,,,63.8,,70.7,0.0,28342.725806451614,11.030645161290323,,,1364.5,,,,38.18714285714286,7.928571428571429,116.28571428571428,93.71428571428572,256.1157142857143,,,,,
2018-01-12,656,145500.0,,,,7200.0,6.468,,,,,,,,,,,,,,,,,2958.0,,,2014.5,,,,3807.0,6.91,7.32,6.49,6.91,7.32,6.49,,,2096.74,27.0,20.0,13.0,8430.0,,,,,,64.3,,69.9,0.0,27495.548387096773,11.138709677419357,,,1353.5,,,,40.49142857142857,8.685714285714285,118.85714285714286,92.14285714285714,260.1771428571429,,,,,
2018-01-15,658,145500.0,,,,6750.0,6.4417,,,,,,,,,,,,,,,,,2946.0,,,1988.5,,,,3784.0,6.927142857142857,7.337142857142857,6.507142857142857,6.927142857142857,7.337142857142857,6.507142857142857,,,2086.9,27.0,20.0,13.0,8370.0,,,,,,64.82,,70.5,0.0,24954.016129032258,11.462903225806452,,,1330.0,,,,46.4,11.028571428571428,123.87142857142857,90.21428571428572,271.51428571428573,,,,,
2018-01-16,659,145500.0,,,,6500.0,6.4366,,,,,,,,,,,,,,,,,2879.0,,,1976.5,,,,3814.0,6.930714285714286,7.340714285714286,6.510714285714286,6.930714285714286,7.340714285714286,6.510714285714286,,,2083.62,27.0,20.0,13.0,7720.0,,,,,,63.73,,69.7,0.0,24106.838709677424,11.570967741935483,,,1308.0,,,,47.7,11.857142857142856,123.74285714285716,91.42857142857144,274.72857142857146,,,,,
2018-01-17,659,145500.0,,,,6400.0,6.4325,,,,,,,,,,,,,,,,,2833.0,,,1952.0,,,,3816.0,6.934285714285714,7.344285714285714,6.514285714285714,6.934285714285714,7.344285714285714,6.514285714285714,,,2080.34,27.0,20.0,13.0,7700.0,,,,,,63.97,,69.4,0.0,23259.661290322583,11.679032258064517,,,1274.0,,,,49.0,12.685714285714283,123.61428571428571,92.64285714285714,277.9428571428572,,,,,
2018-01-18,660,145500.0,,,,6900.0,6.4255,,,,,,,,,,,,,,,,,2824.0,,,1968.0,,,,3843.0,6.937857142857142,7.347857142857142,6.517857142857142,6.937857142857142,7.347857142857142,6.517857142857142,,,2077.06,27.0,20.0,13.0,7720.0,,,,,,63.95,,69.5,0.0,22412.483870967742,11.787096774193548,,,1279.5,,,,50.3,13.514285714285714,123.48571428571428,93.85714285714286,281.15714285714284,,,,,
2018-01-19,661,145500.0,,,,7000.0,6.404,,,,,,,,,,,,,,,,,2790.0,,,1967.0,,,,3883.0,6.941428571428571,7.351428571428571,6.521428571428571,6.941428571428571,7.351428571428571,6.521428571428571,,,2073.78,27.0,20.0,13.0,7790.0,,,,,,63.37,,68.6,0.0,21565.30645161291,11.89516129032258,,,1278.5,,,,51.6,14.342857142857142,123.35714285714285,95.07142857142856,284.37142857142857,,,,,
2018-01-22,666,145500.0,,,,7000.0,6.4036,,,,,,,,,,,,,,,,,2814.0,,,2010.5,,,,3939.0,6.9521428571428565,7.362142857142857,6.532142857142857,6.9521428571428565,7.362142857142857,6.532142857142857,,,2068.8454545454547,27.0,20.428571428571427,13.0,8990.0,,,,,,63.49,,69.5,0.0,19023.774193548383,12.219354838709677,,,1289.0,,,,55.01428571428572,16.67142857142857,122.65714285714286,95.0,289.3428571428572,,,,,
2018-01-23,670,145500.0,,,,6600.0,6.4042,,,,,,,,,,,,,,,,,2836.0,,,1990.5,,,,3905.0,6.9557142857142855,7.365714285714286,6.535714285714286,6.9557142857142855,7.365714285714286,6.535714285714286,,,2068.018181818182,27.0,20.571428571428573,13.0,8990.0,,,,,,64.47,,70.0,0.0,18176.596774193556,12.32741935483871,,,1272.5,,,,55.82857142857143,17.34285714285714,122.21428571428572,92.5,287.8857142857143,,,,,
2018-01-24,672,145500.0,,,,6800.0,6.3875,,,,,,,,,,,,,,,,,2834.0,,,1989.5,,,,3924.0,6.9592857142857145,7.369285714285715,6.539285714285715,6.9592857142857145,7.369285714285715,6.539285714285715,,,2067.190909090909,27.0,20.714285714285715,13.0,9130.0,,,,,,65.61,,69.9,0.0,17329.419354838712,12.435483870967742,,,1285.0,,,,56.642857142857146,18.014285714285712,121.77142857142856,90.0,286.42857142857144,,,,,
2018-01-25,675,145500.0,,,,7200.0,6.335,,,,,,,,,,,,,,,,,2836.0,,,2036.5,,,,3958.0,6.962857142857143,7.372857142857143,6.542857142857143,6.962857142857143,7.372857142857143,6.542857142857143,,,2066.3636363636365,27.0,20.857142857142858,13.0,8690.0,,,,,,65.51,,70.6,0.0,16482.24193548387,12.543548387096774,,,1308.0,,,,57.457142857142856,18.685714285714287,121.32857142857142,87.5,284.9714285714286,,,,,
2018-01-26,680,145500.0,,,,7400.0,6.3227,,,,,,,,,,,,,,,,,2834.0,,,2049.0,,,,3948.0,6.966428571428571,7.376428571428571,6.546428571428571,6.966428571428571,7.376428571428571,6.546428571428571,,,2065.536363636364,27.0,21.0,13.0,9260.0,,,,,,66.14,,70.0,0.0,15635.064516129038,12.651612903225807,,,1310.5,,,,58.27142857142857,19.357142857142858,120.88571428571429,85.0,283.51428571428573,,,,,
2018-01-29,681,145500.0,,,,7800.0,6.3266,,,,,,,,,,,,,,,,,2852.0,,,2040.0,,,,3945.0,6.95,7.36,6.531428571428571,6.95,7.36,6.531428571428571,,,2063.0545454545454,27.0,21.0,13.0,9970.0,,,,,,65.56,,68.6,0.0,13093.532258064522,12.975806451612904,,,1294.5,,,,61.3,19.757142857142856,120.71428571428572,75.28571428571429,277.0571428571429,,,,,
2018-01-30,683,145500.0,,,,8000.0,6.3415,,,,,,,,,,,,,,,,,2817.0,,,2025.0,,,,3923.0,6.94,7.35,6.522142857142857,6.94,7.35,6.522142857142857,,,2062.227272727273,27.0,21.0,13.0,8700.0,,,,,,64.5,,68.0,0.0,12246.354838709682,13.083870967741936,,,1293.0,,,,62.7,18.814285714285717,121.42857142857144,70.57142857142857,273.51428571428573,,,,,
2018-01-31,688,145500.0,,,,8100.0,6.292,,,,,,,,,,,,,,,,,2786.0,,,1997.5,,,,3918.0,6.93,7.34,6.512857142857143,6.93,7.34,6.512857142857143,,,2061.4,27.0,21.0,13.0,8740.0,,,,,,64.73,,68.1,0.0,11399.17741935484,13.191935483870967,,,1289.0,,,,64.1,17.87142857142857,122.14285714285714,65.85714285714286,269.9714285714286,,,,,
2018-02-01,689,145500.0,,,,8100.0,6.296,,,,,,,,,,,,,,,,,2779.0,,,2008.5,,,,3941.0,6.92,7.33,6.503571428571428,6.92,7.33,6.503571428571428,,,2060.94,27.0,21.0,13.0,8760.0,,,,,,65.8,,68.5,0.0,10552.0,13.3,,,1294.0,,,,65.5,16.928571428571427,122.85714285714286,61.14285714285714,266.42857142857144,,,,,
2018-02-02,691,145500.0,,,,7900.0,6.2798,,,,,,,,,,,,,,,,,2785.0,,,2028.0,,,,3949.0,6.91,7.32,6.494285714285714,6.91,7.32,6.494285714285714,,,2060.48,27.0,21.0,13.0,8780.0,,,,,,65.45,,67.6,0.0,10742.214285714286,13.175,,,1313.5,,,,66.9,15.985714285714284,123.57142857142856,56.42857142857143,262.8857142857143,,,,,
2018-02-06,677,145500.0,,,,7400.0,6.2783,,,,,,,,,,,,,,,,,2814.0,,,2117.5,,,,3960.0,6.87,7.28,6.457142857142857,6.87,7.28,6.457142857142857,,,2058.6400000000003,31.57142857142857,26.142857142857142,13.571428571428571,8850.0,,,,,,63.39,,66.7,0.0,11503.07142857143,12.675,,,1361.5,,,,71.72857142857143,17.442857142857143,118.91428571428573,47.95142857142857,256.03714285714284,,,,,
